-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 07/30/2021 in LST
Location: Latitude  37.22   Longitude -89.46 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 107.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2021,1,1,0,0.0
2021,1,1,1,0.0
2021,1,1,2,0.0
2021,1,1,3,0.0
2021,1,1,4,0.0
2021,1,1,5,0.0
2021,1,1,6,0.0
2021,1,1,7,8.95
2021,1,1,8,49.4
2021,1,1,9,102.47
2021,1,1,10,126.5
2021,1,1,11,123.85
2021,1,1,12,143.02
2021,1,1,13,144.52
2021,1,1,14,114.03
2021,1,1,15,74.35
2021,1,1,16,15.52
2021,1,1,17,0.0
2021,1,1,18,0.0
2021,1,1,19,0.0
2021,1,1,20,0.0
2021,1,1,21,0.0
2021,1,1,22,0.0
2021,1,1,23,0.0
2021,1,2,0,0.0
2021,1,2,1,0.0
2021,1,2,2,0.0
2021,1,2,3,0.0
2021,1,2,4,0.0
2021,1,2,5,0.0
2021,1,2,6,0.0
2021,1,2,7,13.48
2021,1,2,8,70.88
2021,1,2,9,131.8
2021,1,2,10,174.85
2021,1,2,11,205.2
2021,1,2,12,199.4
2021,1,2,13,157.5
2021,1,2,14,110.6
2021,1,2,15,56.38
2021,1,2,16,11.73
2021,1,2,17,0.0
2021,1,2,18,0.0
2021,1,2,19,0.0
2021,1,2,20,0.0
2021,1,2,21,0.0
2021,1,2,22,0.0
2021,1,2,23,0.0
2021,1,3,0,0.0
2021,1,3,1,0.0
2021,1,3,2,0.0
2021,1,3,3,0.0
2021,1,3,4,0.0
2021,1,3,5,0.0
2021,1,3,6,0.0
2021,1,3,7,21.73
2021,1,3,8,159.05
2021,1,3,9,306.45
2021,1,3,10,421.3
2021,1,3,11,487.58
2021,1,3,12,455.58
2021,1,3,13,403.35
2021,1,3,14,305.77
2021,1,3,15,178.2
2021,1,3,16,33.17
2021,1,3,17,0.0
2021,1,3,18,0.0
2021,1,3,19,0.0
2021,1,3,20,0.0
2021,1,3,21,0.0
2021,1,3,22,0.0
2021,1,3,23,0.0
2021,1,4,0,0.0
2021,1,4,1,0.0
2021,1,4,2,0.0
2021,1,4,3,0.0
2021,1,4,4,0.0
2021,1,4,5,0.0
2021,1,4,6,0.0
2021,1,4,7,22.42
2021,1,4,8,165.95
2021,1,4,9,314.1
2021,1,4,10,428.88
2021,1,4,11,376.35
2021,1,4,12,357.42
2021,1,4,13,303.62
2021,1,4,14,228.52
2021,1,4,15,111.57
2021,1,4,16,18.88
2021,1,4,17,0.0
2021,1,4,18,0.0
2021,1,4,19,0.0
2021,1,4,20,0.0
2021,1,4,21,0.0
2021,1,4,22,0.0
2021,1,4,23,0.0
2021,1,5,0,0.0
2021,1,5,1,0.0
2021,1,5,2,0.0
2021,1,5,3,0.0
2021,1,5,4,0.0
2021,1,5,5,0.0
2021,1,5,6,0.0
2021,1,5,7,24.02
2021,1,5,8,177.45
2021,1,5,9,334.92
2021,1,5,10,454.15
2021,1,5,11,515.75
2021,1,5,12,528.95
2021,1,5,13,460.35
2021,1,5,14,341.75
2021,1,5,15,192.4
2021,1,5,16,33.45
2021,1,5,17,0.0
2021,1,5,18,0.0
2021,1,5,19,0.0
2021,1,5,20,0.0
2021,1,5,21,0.0
2021,1,5,22,0.0
2021,1,5,23,0.0
2021,1,6,0,0.0
2021,1,6,1,0.0
2021,1,6,2,0.0
2021,1,6,3,0.0
2021,1,6,4,0.0
2021,1,6,5,0.0
2021,1,6,6,0.0
2021,1,6,7,18.02
2021,1,6,8,130.18
2021,1,6,9,269.1
2021,1,6,10,327.95
2021,1,6,11,329.1
2021,1,6,12,377.0
2021,1,6,13,369.6
2021,1,6,14,267.6
2021,1,6,15,143.07
2021,1,6,16,26.27
2021,1,6,17,0.0
2021,1,6,18,0.0
2021,1,6,19,0.0
2021,1,6,20,0.0
2021,1,6,21,0.0
2021,1,6,22,0.0
2021,1,6,23,0.0
2021,1,7,0,0.0
2021,1,7,1,0.0
2021,1,7,2,0.0
2021,1,7,3,0.0
2021,1,7,4,0.0
2021,1,7,5,0.0
2021,1,7,6,0.0
2021,1,7,7,6.05
2021,1,7,8,32.25
2021,1,7,9,57.08
2021,1,7,10,69.05
2021,1,7,11,101.12
2021,1,7,12,80.05
2021,1,7,13,59.8
2021,1,7,14,117.07
2021,1,7,15,64.1
2021,1,7,16,15.48
2021,1,7,17,0.0
2021,1,7,18,0.0
2021,1,7,19,0.0
2021,1,7,20,0.0
2021,1,7,21,0.0
2021,1,7,22,0.0
2021,1,7,23,0.0
2021,1,8,0,0.0
2021,1,8,1,0.0
2021,1,8,2,0.0
2021,1,8,3,0.0
2021,1,8,4,0.0
2021,1,8,5,0.0
2021,1,8,6,0.0
2021,1,8,7,7.82
2021,1,8,8,53.88
2021,1,8,9,112.6
2021,1,8,10,177.77
2021,1,8,11,215.62
2021,1,8,12,148.82
2021,1,8,13,88.88
2021,1,8,14,64.22
2021,1,8,15,41.75
2021,1,8,16,3.7
2021,1,8,17,0.0
2021,1,8,18,0.0
2021,1,8,19,0.0
2021,1,8,20,0.0
2021,1,8,21,0.0
2021,1,8,22,0.0
2021,1,8,23,0.0
2021,1,9,0,0.0
2021,1,9,1,0.0
2021,1,9,2,0.0
2021,1,9,3,0.0
2021,1,9,4,0.0
2021,1,9,5,0.0
2021,1,9,6,0.0
2021,1,9,7,5.35
2021,1,9,8,50.85
2021,1,9,9,106.57
2021,1,9,10,171.43
2021,1,9,11,165.18
2021,1,9,12,152.75
2021,1,9,13,144.68
2021,1,9,14,89.95
2021,1,9,15,50.95
2021,1,9,16,5.7
2021,1,9,17,0.0
2021,1,9,18,0.0
2021,1,9,19,0.0
2021,1,9,20,0.0
2021,1,9,21,0.0
2021,1,9,22,0.0
2021,1,9,23,0.0
2021,1,10,0,0.0
2021,1,10,1,0.0
2021,1,10,2,0.0
2021,1,10,3,0.0
2021,1,10,4,0.0
2021,1,10,5,0.0
2021,1,10,6,0.0
2021,1,10,7,3.7
2021,1,10,8,27.5
2021,1,10,9,53.65
2021,1,10,10,74.8
2021,1,10,11,89.95
2021,1,10,12,88.97
2021,1,10,13,156.5
2021,1,10,14,110.55
2021,1,10,15,67.93
2021,1,10,16,13.8
2021,1,10,17,0.0
2021,1,10,18,0.0
2021,1,10,19,0.0
2021,1,10,20,0.0
2021,1,10,21,0.0
2021,1,10,22,0.0
2021,1,10,23,0.0
2021,1,11,0,0.0
2021,1,11,1,0.0
2021,1,11,2,0.0
2021,1,11,3,0.0
2021,1,11,4,0.0
2021,1,11,5,0.0
2021,1,11,6,0.0
2021,1,11,7,8.82
2021,1,11,8,50.6
2021,1,11,9,100.3
2021,1,11,10,149.2
2021,1,11,11,192.55
2021,1,11,12,213.57
2021,1,11,13,217.75
2021,1,11,14,177.0
2021,1,11,15,129.5
2021,1,11,16,42.05
2021,1,11,17,0.0
2021,1,11,18,0.0
2021,1,11,19,0.0
2021,1,11,20,0.0
2021,1,11,21,0.0
2021,1,11,22,0.0
2021,1,11,23,0.0
2021,1,12,0,0.0
2021,1,12,1,0.0
2021,1,12,2,0.0
2021,1,12,3,0.0
2021,1,12,4,0.0
2021,1,12,5,0.0
2021,1,12,6,0.0
2021,1,12,7,28.33
2021,1,12,8,190.7
2021,1,12,9,355.3
2021,1,12,10,478.92
2021,1,12,11,546.55
2021,1,12,12,547.83
2021,1,12,13,492.8
2021,1,12,14,381.7
2021,1,12,15,226.07
2021,1,12,16,54.15
2021,1,12,17,0.0
2021,1,12,18,0.0
2021,1,12,19,0.0
2021,1,12,20,0.0
2021,1,12,21,0.0
2021,1,12,22,0.0
2021,1,12,23,0.0
2021,1,13,0,0.0
2021,1,13,1,0.0
2021,1,13,2,0.0
2021,1,13,3,0.0
2021,1,13,4,0.0
2021,1,13,5,0.0
2021,1,13,6,0.0
2021,1,13,7,27.42
2021,1,13,8,168.95
2021,1,13,9,305.0
2021,1,13,10,399.0
2021,1,13,11,519.5
2021,1,13,12,490.4
2021,1,13,13,428.38
2021,1,13,14,304.45
2021,1,13,15,175.7
2021,1,13,16,39.45
2021,1,13,17,0.0
2021,1,13,18,0.0
2021,1,13,19,0.0
2021,1,13,20,0.0
2021,1,13,21,0.0
2021,1,13,22,0.0
2021,1,13,23,0.0
2021,1,14,0,0.0
2021,1,14,1,0.0
2021,1,14,2,0.0
2021,1,14,3,0.0
2021,1,14,4,0.0
2021,1,14,5,0.0
2021,1,14,6,0.0
2021,1,14,7,19.77
2021,1,14,8,118.25
2021,1,14,9,231.3
2021,1,14,10,326.98
2021,1,14,11,474.45
2021,1,14,12,450.9
2021,1,14,13,385.45
2021,1,14,14,284.38
2021,1,14,15,166.62
2021,1,14,16,30.2
2021,1,14,17,0.0
2021,1,14,18,0.0
2021,1,14,19,0.0
2021,1,14,20,0.0
2021,1,14,21,0.0
2021,1,14,22,0.0
2021,1,14,23,0.0
2021,1,15,0,0.0
2021,1,15,1,0.0
2021,1,15,2,0.0
2021,1,15,3,0.0
2021,1,15,4,0.0
2021,1,15,5,0.0
2021,1,15,6,0.0
2021,1,15,7,19.12
2021,1,15,8,102.45
2021,1,15,9,187.82
2021,1,15,10,252.88
2021,1,15,11,264.95
2021,1,15,12,177.45
2021,1,15,13,132.88
2021,1,15,14,113.2
2021,1,15,15,66.85
2021,1,15,16,16.52
2021,1,15,17,0.0
2021,1,15,18,0.0
2021,1,15,19,0.0
2021,1,15,20,0.0
2021,1,15,21,0.0
2021,1,15,22,0.0
2021,1,15,23,0.0
2021,1,16,0,0.0
2021,1,16,1,0.0
2021,1,16,2,0.0
2021,1,16,3,0.0
2021,1,16,4,0.0
2021,1,16,5,0.0
2021,1,16,6,0.0
2021,1,16,7,10.65
2021,1,16,8,72.38
2021,1,16,9,140.32
2021,1,16,10,205.75
2021,1,16,11,258.35
2021,1,16,12,235.9
2021,1,16,13,146.05
2021,1,16,14,110.95
2021,1,16,15,61.8
2021,1,16,16,16.65
2021,1,16,17,0.0
2021,1,16,18,0.0
2021,1,16,19,0.0
2021,1,16,20,0.0
2021,1,16,21,0.0
2021,1,16,22,0.0
2021,1,16,23,0.0
2021,1,17,0,0.0
2021,1,17,1,0.0
2021,1,17,2,0.0
2021,1,17,3,0.0
2021,1,17,4,0.0
2021,1,17,5,0.0
2021,1,17,6,0.0
2021,1,17,7,19.12
2021,1,17,8,149.32
2021,1,17,9,271.45
2021,1,17,10,358.88
2021,1,17,11,462.67
2021,1,17,12,434.88
2021,1,17,13,393.75
2021,1,17,14,306.17
2021,1,17,15,192.6
2021,1,17,16,46.12
2021,1,17,17,0.0
2021,1,17,18,0.0
2021,1,17,19,0.0
2021,1,17,20,0.0
2021,1,17,21,0.0
2021,1,17,22,0.0
2021,1,17,23,0.0
2021,1,18,0,0.0
2021,1,18,1,0.0
2021,1,18,2,0.0
2021,1,18,3,0.0
2021,1,18,4,0.0
2021,1,18,5,0.0
2021,1,18,6,0.0
2021,1,18,7,26.25
2021,1,18,8,176.5
2021,1,18,9,338.02
2021,1,18,10,464.5
2021,1,18,11,447.6
2021,1,18,12,408.3
2021,1,18,13,274.27
2021,1,18,14,210.1
2021,1,18,15,119.57
2021,1,18,16,29.58
2021,1,18,17,0.0
2021,1,18,18,0.0
2021,1,18,19,0.0
2021,1,18,20,0.0
2021,1,18,21,0.0
2021,1,18,22,0.0
2021,1,18,23,0.0
2021,1,19,0,0.0
2021,1,19,1,0.0
2021,1,19,2,0.0
2021,1,19,3,0.0
2021,1,19,4,0.0
2021,1,19,5,0.0
2021,1,19,6,0.0
2021,1,19,7,20.1
2021,1,19,8,146.95
2021,1,19,9,292.58
2021,1,19,10,401.75
2021,1,19,11,454.3
2021,1,19,12,533.33
2021,1,19,13,467.55
2021,1,19,14,352.15
2021,1,19,15,212.02
2021,1,19,16,58.6
2021,1,19,17,0.0
2021,1,19,18,0.0
2021,1,19,19,0.0
2021,1,19,20,0.0
2021,1,19,21,0.0
2021,1,19,22,0.0
2021,1,19,23,0.0
2021,1,20,0,0.0
2021,1,20,1,0.0
2021,1,20,2,0.0
2021,1,20,3,0.0
2021,1,20,4,0.0
2021,1,20,5,0.0
2021,1,20,6,0.0
2021,1,20,7,33.78
2021,1,20,8,198.32
2021,1,20,9,368.02
2021,1,20,10,492.8
2021,1,20,11,515.6
2021,1,20,12,558.03
2021,1,20,13,483.92
2021,1,20,14,365.12
2021,1,20,15,205.12
2021,1,20,16,50.22
2021,1,20,17,0.0
2021,1,20,18,0.0
2021,1,20,19,0.0
2021,1,20,20,0.0
2021,1,20,21,0.0
2021,1,20,22,0.0
2021,1,20,23,0.0
2021,1,21,0,0.0
2021,1,21,1,0.0
2021,1,21,2,0.0
2021,1,21,3,0.0
2021,1,21,4,0.0
2021,1,21,5,0.0
2021,1,21,6,0.0
2021,1,21,7,16.67
2021,1,21,8,96.6
2021,1,21,9,190.1
2021,1,21,10,270.95
2021,1,21,11,356.23
2021,1,21,12,431.33
2021,1,21,13,392.83
2021,1,21,14,305.05
2021,1,21,15,181.95
2021,1,21,16,54.45
2021,1,21,17,0.0
2021,1,21,18,0.0
2021,1,21,19,0.0
2021,1,21,20,0.0
2021,1,21,21,0.0
2021,1,21,22,0.0
2021,1,21,23,0.0
2021,1,22,0,0.0
2021,1,22,1,0.0
2021,1,22,2,0.0
2021,1,22,3,0.0
2021,1,22,4,0.0
2021,1,22,5,0.0
2021,1,22,6,0.0
2021,1,22,7,29.58
2021,1,22,8,190.9
2021,1,22,9,375.58
2021,1,22,10,504.2
2021,1,22,11,577.55
2021,1,22,12,588.72
2021,1,22,13,536.53
2021,1,22,14,425.12
2021,1,22,15,266.92
2021,1,22,16,87.07
2021,1,22,17,0.0
2021,1,22,18,0.0
2021,1,22,19,0.0
2021,1,22,20,0.0
2021,1,22,21,0.0
2021,1,22,22,0.0
2021,1,22,23,0.0
2021,1,23,0,0.0
2021,1,23,1,0.0
2021,1,23,2,0.0
2021,1,23,3,0.0
2021,1,23,4,0.0
2021,1,23,5,0.0
2021,1,23,6,0.0
2021,1,23,7,34.35
2021,1,23,8,202.25
2021,1,23,9,370.7
2021,1,23,10,498.9
2021,1,23,11,568.5
2021,1,23,12,580.42
2021,1,23,13,453.42
2021,1,23,14,358.4
2021,1,23,15,230.88
2021,1,23,16,60.55
2021,1,23,17,0.0
2021,1,23,18,0.0
2021,1,23,19,0.0
2021,1,23,20,0.0
2021,1,23,21,0.0
2021,1,23,22,0.0
2021,1,23,23,0.0
2021,1,24,0,0.0
2021,1,24,1,0.0
2021,1,24,2,0.0
2021,1,24,3,0.0
2021,1,24,4,0.0
2021,1,24,5,0.0
2021,1,24,6,0.0
2021,1,24,7,15.02
2021,1,24,8,81.4
2021,1,24,9,149.25
2021,1,24,10,198.77
2021,1,24,11,194.05
2021,1,24,12,157.7
2021,1,24,13,142.45
2021,1,24,14,144.0
2021,1,24,15,88.47
2021,1,24,16,27.83
2021,1,24,17,0.0
2021,1,24,18,0.0
2021,1,24,19,0.0
2021,1,24,20,0.0
2021,1,24,21,0.0
2021,1,24,22,0.0
2021,1,24,23,0.0
2021,1,25,0,0.0
2021,1,25,1,0.0
2021,1,25,2,0.0
2021,1,25,3,0.0
2021,1,25,4,0.0
2021,1,25,5,0.0
